frame.number|frame.time|usb.src|usb.dst|usb.transfer_type|usb.endpoint_address|usb.data_len|usb.bmRequestType|usb.setup.bRequest|usb.setup.wValue|usb.setup.wIndex|usb.setup.wLength|usb.data_fragment|usbhid.data|usb.capdata
1|2026-09-02T22:43:33.132674000-0400|host|2.10.0|0x02|0x80|8|0x80|6|||18|||
2|2026-09-02T22:43:33.132674000-0400|2.10.0|host|0x02|0x80|18||||||||
3|2026-09-02T22:43:33.132674000-0400|host|2.10.0|0x02|0x80|8|0x80|6|||64|||
4|2026-09-02T22:43:33.132674000-0400|2.10.0|host|0x02|0x80|64||||||||
5|2026-09-02T22:43:33.132674000-0400|host|2.10.0|0x02|0x00|8|0x00|9||0|0|||
6|2026-09-02T22:43:33.132674000-0400|2.10.0|host|0x02|0x00|0||||||||
7|2026-09-02T22:43:51.564586000-0400|host|2.10.0|0x02|0x80|8|0x80|6|||258|||
8|2026-09-02T22:43:51.564722000-0400|2.10.0|host|0x02|0x80|44||||||||
9|2026-09-02T22:43:51.564740000-0400|host|2.10.0|0x02|0x80|8|0x80|6|||258|||
10|2026-09-02T22:43:51.564843000-0400|2.10.0|host|0x02|0x80|30||||||||
11|2026-09-02T22:44:35.319788000-0400|host|2.10.2|0x01|0x02|65|||||||ecdc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
12|2026-09-02T22:44:35.319983000-0400|2.10.2|host|0x01|0x02|0||||||||
13|2026-09-02T22:44:35.335605000-0400|2.10.2|host|0x01|0x82|65|||||||ec5c000064000064100104001e10010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
14|2026-09-02T22:44:35.335610000-0400|host|2.10.2|0x01|0x82|0||||||||
15|2026-09-02T22:44:35.559449000-0400|host|2.10.2|0x01|0x02|65|||||||ecd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
16|2026-09-02T22:44:35.559615000-0400|2.10.2|host|0x01|0x02|0||||||||
17|2026-09-02T22:44:35.562240000-0400|2.10.2|host|0x01|0x82|65|||||||ec50000130100104010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
18|2026-09-02T22:44:35.562244000-0400|host|2.10.2|0x01|0x82|0||||||||
19|2026-09-02T22:44:40.692906000-0400|host|2.10.2|0x01|0x02|65|||||||ecdc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
20|2026-09-02T22:44:40.693715000-0400|2.10.2|host|0x01|0x02|0||||||||
21|2026-09-02T22:44:40.697715000-0400|2.10.2|host|0x01|0x82|65|||||||ec5c000064000064100104001e10010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
22|2026-09-02T22:44:40.697720000-0400|host|2.10.2|0x01|0x82|0||||||||
23|2026-09-02T22:44:40.930692000-0400|host|2.10.2|0x01|0x02|65|||||||ec5d000110010405000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
24|2026-09-02T22:44:40.930847000-0400|2.10.2|host|0x01|0x02|0||||||||
25|2026-09-02T22:44:40.931101000-0400|2.10.2|host|0x01|0x82|65|||||||ec5d000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
26|2026-09-02T22:44:40.931104000-0400|host|2.10.2|0x01|0x82|0||||||||
27|2026-09-02T22:44:41.069060000-0400|host|2.10.2|0x01|0x02|65|||||||ec51100104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
28|2026-09-02T22:44:41.069230000-0400|2.10.2|host|0x01|0x02|0||||||||
29|2026-09-02T22:44:41.071753000-0400|2.10.2|host|0x01|0x82|65|||||||ec51000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
30|2026-09-02T22:44:41.071757000-0400|host|2.10.2|0x01|0x82|0||||||||
31|2026-09-02T22:44:43.602353000-0400|host|2.10.2|0x01|0x02|65|||||||ecdc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
32|2026-09-02T22:44:43.602589000-0400|2.10.2|host|0x01|0x02|0||||||||
33|2026-09-02T22:44:43.602852000-0400|2.10.2|host|0x01|0x82|65|||||||ec5c000064000064100104001e10010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
34|2026-09-02T22:44:43.602858000-0400|host|2.10.2|0x01|0x82|0||||||||
35|2026-09-02T22:44:43.837198000-0400|host|2.10.2|0x01|0x02|65|||||||ecd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
36|2026-09-02T22:44:43.837472000-0400|2.10.2|host|0x01|0x02|0||||||||
37|2026-09-02T22:44:43.838346000-0400|2.10.2|host|0x01|0x82|65|||||||ec50000130100104010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
38|2026-09-02T22:44:43.838350000-0400|host|2.10.2|0x01|0x82|0||||||||
39|2026-09-02T22:44:44.955580000-0400|host|2.10.2|0x01|0x02|65|||||||ecdc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
40|2026-09-02T22:44:44.955775000-0400|2.10.2|host|0x01|0x02|0||||||||
41|2026-09-02T22:44:44.957646000-0400|2.10.2|host|0x01|0x82|65|||||||ec5c000064000064100104001e10010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
42|2026-09-02T22:44:44.957651000-0400|host|2.10.2|0x01|0x82|0||||||||
43|2026-09-02T22:44:45.191939000-0400|host|2.10.2|0x01|0x02|65|||||||ec5d000110010405000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
44|2026-09-02T22:44:45.192176000-0400|2.10.2|host|0x01|0x02|0||||||||
45|2026-09-02T22:44:45.193905000-0400|2.10.2|host|0x01|0x82|65|||||||ec5d000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
46|2026-09-02T22:44:45.193908000-0400|host|2.10.2|0x01|0x82|0||||||||
47|2026-09-02T22:44:45.331235000-0400|host|2.10.2|0x01|0x02|65|||||||ec51100104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
48|2026-09-02T22:44:45.331412000-0400|2.10.2|host|0x01|0x02|0||||||||
49|2026-09-02T22:44:45.333661000-0400|2.10.2|host|0x01|0x82|65|||||||ec51000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
50|2026-09-02T22:44:45.333665000-0400|host|2.10.2|0x01|0x82|0||||||||
51|2026-09-02T22:44:45.568427000-0400|host|2.10.2|0x01|0x02|65|||||||ec82000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
52|2026-09-02T22:44:45.568689000-0400|2.10.2|host|0x01|0x02|0||||||||
53|2026-09-02T22:44:45.571047000-0400|2.10.2|host|0x01|0x82|65|||||||ec02004155524a322d533735302d303130380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
54|2026-09-02T22:44:45.571051000-0400|host|2.10.2|0x01|0x82|0||||||||
55|2026-09-02T22:44:45.614187000-0400|host|2.10.2|0x01|0x02|65|||||||ecdc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
56|2026-09-02T22:44:45.614456000-0400|2.10.2|host|0x01|0x02|0||||||||
57|2026-09-02T22:44:45.619926000-0400|2.10.2|host|0x01|0x82|65|||||||ec5c000064000064100104001e10010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
58|2026-09-02T22:44:45.619930000-0400|host|2.10.2|0x01|0x82|0||||||||
59|2026-09-02T22:44:46.220098000-0400|host|2.10.2|0x01|0x02|65|||||||ec99000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
60|2026-09-02T22:44:46.220326000-0400|2.10.2|host|0x01|0x02|0||||||||
61|2026-09-02T22:44:46.222325000-0400|2.10.2|host|0x01|0x82|65|||||||ec19000000250390062666030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
62|2026-09-02T22:44:46.222329000-0400|host|2.10.2|0x01|0x82|0||||||||
63|2026-09-02T22:44:46.361000000-0400|host|2.10.2|0x01|0x02|65|||||||ecdc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
64|2026-09-02T22:44:46.361206000-0400|2.10.2|host|0x01|0x02|0||||||||
65|2026-09-02T22:44:46.361833000-0400|2.10.2|host|0x01|0x82|65|||||||ec5c000064000064100104001e10010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
66|2026-09-02T22:44:46.361837000-0400|host|2.10.2|0x01|0x82|0||||||||
67|2026-09-02T22:44:46.615880000-0400|host|2.10.2|0x01|0x02|65|||||||ecdc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
68|2026-09-02T22:44:46.616093000-0400|2.10.2|host|0x01|0x02|0||||||||
69|2026-09-02T22:44:46.617591000-0400|2.10.2|host|0x01|0x82|65|||||||ec5c000064000064100104001e10010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
70|2026-09-02T22:44:46.617595000-0400|host|2.10.2|0x01|0x82|0||||||||
71|2026-09-02T22:44:46.857620000-0400|host|2.10.2|0x01|0x02|65|||||||ecdc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
72|2026-09-02T22:44:46.857856000-0400|2.10.2|host|0x01|0x02|0||||||||
73|2026-09-02T22:44:46.859602000-0400|2.10.2|host|0x01|0x82|65|||||||ec5c000064000064100104001e10010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
74|2026-09-02T22:44:46.859606000-0400|host|2.10.2|0x01|0x82|0||||||||
75|2026-09-02T22:44:47.203483000-0400|host|2.10.2|0x01|0x02|65|||||||ec99000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
76|2026-09-02T22:44:47.204372000-0400|2.10.2|host|0x01|0x02|0||||||||
77|2026-09-02T22:44:47.204615000-0400|2.10.2|host|0x01|0x82|65|||||||ec19000000250390062684030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
78|2026-09-02T22:44:47.204618000-0400|host|2.10.2|0x01|0x82|0||||||||
79|2026-09-02T22:44:47.357866000-0400|host|2.10.2|0x01|0x02|65|||||||ecdc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
80|2026-09-02T22:44:47.358756000-0400|2.10.2|host|0x01|0x02|0||||||||
81|2026-09-02T22:44:47.361122000-0400|2.10.2|host|0x01|0x82|65|||||||ec5c000064000064100104001e10010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
82|2026-09-02T22:44:47.361126000-0400|host|2.10.2|0x01|0x82|0||||||||
83|2026-09-02T22:46:36.517139000-0400|host|2.10.2|0x01|0x02|65|||||||ecdc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
84|2026-09-02T22:46:36.517316000-0400|2.10.2|host|0x01|0x02|0||||||||
85|2026-09-02T22:46:36.519313000-0400|2.10.2|host|0x01|0x82|65|||||||ec5c000064000064100104001e10010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
86|2026-09-02T22:46:36.519318000-0400|host|2.10.2|0x01|0x82|0||||||||
87|2026-09-02T22:46:36.757409000-0400|host|2.10.2|0x01|0x02|65|||||||ec5c010064000064100104001e10010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
88|2026-09-02T22:46:36.757577000-0400|2.10.2|host|0x01|0x02|0||||||||
89|2026-09-02T22:46:36.764323000-0400|2.10.2|host|0x01|0x82|65|||||||ec5c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
90|2026-09-02T22:46:36.764327000-0400|host|2.10.2|0x01|0x82|0||||||||
91|2026-09-02T22:46:37.021760000-0400|host|2.10.2|0x01|0x02|65|||||||ecdc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
92|2026-09-02T22:46:37.021963000-0400|2.10.2|host|0x01|0x02|0||||||||
93|2026-09-02T22:46:37.026833000-0400|2.10.2|host|0x01|0x82|65|||||||ec5c000064000064100104001e10010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
94|2026-09-02T22:46:37.026837000-0400|host|2.10.2|0x01|0x82|0||||||||
95|2026-09-02T22:46:37.335078000-0400|host|2.10.2|0x01|0x02|65|||||||ec528200020200000000ffffff00ffffff00ffffff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
96|2026-09-02T22:46:37.335350000-0400|2.10.2|host|0x01|0x02|0||||||||
97|2026-09-02T22:46:37.341225000-0400|2.10.2|host|0x01|0x82|65|||||||ec52000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
98|2026-09-02T22:46:37.341230000-0400|host|2.10.2|0x01|0x82|0||||||||
99|2026-09-02T22:46:37.473026000-0400|host|2.10.2|0x01|0x02|65|||||||ec530043505500000000000000000000000000000034332e30e2848300000000000000000000000000000000000000000000000000000000000000000000000000|
100|2026-09-02T22:46:37.473229000-0400|2.10.2|host|0x01|0x02|0||||||||
101|2026-09-02T22:46:37.474729000-0400|2.10.2|host|0x01|0x82|65|||||||ec53000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
102|2026-09-02T22:46:37.474734000-0400|host|2.10.2|0x01|0x82|0||||||||
103|2026-09-02T22:46:37.519719000-0400|host|2.10.2|0x01|0x02|65|||||||ec530143505520566f6c742e000000000000000000312e303636e2868a000000000000000000000000000000000000000000000000000000000000000000000000|
104|2026-09-02T22:46:37.519984000-0400|2.10.2|host|0x01|0x02|0||||||||
105|2026-09-02T22:46:37.522853000-0400|2.10.2|host|0x01|0x82|65|||||||ec53000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|
106|2026-09-02T22:46:37.522857000-0400|host|2.10.2|0x01|0x82|0||||||||
107|2026-09-02T22:46:37.566049000-0400|host|2.10.2|0x01|0x02|65|||||||ec53024350552046616e2053706565640000000000373136e2868c0000000000000000000000000000000000000000000000000000000000000000000000000000|
